Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Category,Community
GODDARD HOUSE,GODDARD FL 0,GODDARD 131,GODDARD 131,GODDARD 131‐1,Single,,CoEd,Alpha Delta Phi (ADPhi)
OLNEY HOUSE,OLNEY FL 1,OLNEY 123,OLNEY 123,OLNEY 123‐1,Single,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 1,OLNEY 124,OLNEY 124,OLNEY 124‐1,Single,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 1,OLNEY 125,OLNEY 125,OLNEY 125‐1,Single,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 1,OLNEY 127,OLNEY 127,OLNEY 127‐1,Single,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 1,OLNEY 129,OLNEY 129,OLNEY 129‐1,Double,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 1,OLNEY 129,OLNEY 129,OLNEY 129‐2,Double,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 1,OLNEY 131,OLNEY 131,OLNEY 131‐1,Single,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 2,OLNEY 233,OLNEY 233,OLNEY 233‐1,Single,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 2,OLNEY 234,OLNEY 234,OLNEY 234‐1,Double,,CoEd,Beta Omega Chi (BOX)
OLNEY HOUSE,OLNEY FL 2,OLNEY 234,OLNEY 234,OLNEY 234‐2,Double,,CoEd,Beta Omega Chi (BOX)
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 113,CHAPIN 113,CHAPIN 113‐1,Double,,CoEd,Civic Engagement
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 113,CHAPIN 113,CHAPIN 113‐2,Double,,CoEd,Civic Engagement
111 BROWN STREET,111BROWN FL 1,111BROWN 102,111BROWN 102,111BROWN 102‐1,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 1,111BROWN 102,111BROWN 102,111BROWN 102‐2,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 2,111BROWN 201,111BROWN 201,111BROWN 201‐1,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 2,111BROWN 201,111BROWN 201,111BROWN 201‐2,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 2,111BROWN 203,111BROWN 203,111BROWN 203‐1,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 2,111BROWN 203,111BROWN 203,111BROWN 203‐2,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 3,111BROWN 302,111BROWN 302,111BROWN 302‐1,Double,,CoEd,Environmental Program House (EPH)
111 BROWN STREET,111BROWN FL 3,111BROWN 302,111BROWN 302,111BROWN 302‐2,Double,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 1,WEST 101,WEST 101,WEST 101‐1,Single,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 1,WEST 103,WEST 103,WEST 103‐1,Double,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 1,WEST 103,WEST 103,WEST 103‐2,Double,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 2,WEST 201,WEST 201,WEST 201‐1,Single,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 2,WEST 202,WEST 202,WEST 202‐1,Double,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 2,WEST 202,WEST 202,WEST 202‐2,Double,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 2,WEST 203,WEST 203,WEST 203‐1,Double,,CoEd,Environmental Program House (EPH)
WEST HOUSE,WEST FL 2,WEST 203,WEST 203,WEST 203‐2,Double,,CoEd,Environmental Program House (EPH)
